,cod_ibge,txt_nome_municipio,txt_sigla_uf,txt_regiao,dt_assinatura,cod_operacao,txt_nome_empreendimento,txt_nome_agente_financeiro,txt_modalidade,txt_situacao_empreendimento,qtd_uh,qtd_uh_entregues,qtd_uh_vigentes,qtd_uh_distratadas,val_contratado_total,val_desembolsado
57586,291.72,Ituaçu ,BA,Nordeste,04/01/2013,,Oferta Pública em Ituaçu,CHB,Oferta Pública,Não Concluído,40,0,40,0,1000000.0,356250.0
57587,251.272,Pedro Régis ,PB,Nordeste,16/03/2013,,Oferta Pública em Pedro Régis,BANCO LUSO BRASILEIRO,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57588,241.05,Rafael Fernandes ,RN,Nordeste,02/06/2010,,Oferta Pública em Rafael Fernandes,BANCO PAULISTA,Oferta Pública,Não Concluído,30,25,5,0,360000.0,354000.0
57589,110.009,Espigão D'Oeste ,RO,Norte,04/01/2013,,Oferta Pública em Espigão D'Oeste,ECONOMISA,Oferta Pública,Distratado/Cancelado,50,0,0,50,1250000.0,187500.0
57590,510.77,Rosário Oeste ,MT,Centro-Oeste,30/04/2010,,Oferta Pública em Rosário Oeste,ECONOMISA,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57591,130.083,Caapiranga ,AM,Norte,25/02/2013,,Oferta Pública em Caapiranga,FAMÍLIA PAULISTA,Oferta Pública,Concluído,24,24,0,0,600000.0,600000.0
57592,240.97,Pedro Avelino ,RN,Nordeste,23/11/2012,,Oferta Pública em Pedro Avelino,BANCO PAULISTA,Oferta Pública,Não Concluído,40,22,18,0,1000000.0,955000.0
57593,290.01,Abaíra ,BA,Nordeste,11/05/2010,,Oferta Pública em Abaíra,BANCO PAULISTA,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57594,411.721,Nova Santa Bárbara ,PR,Sul,15/06/2010,,Oferta Pública em Nova Santa Bárbara,COBANSA,Oferta Pública,Concluído,30,27,0,3,360000.0,356400.0
57595,290.83,Conceição do Almeida ,BA,Nordeste,25/02/2013,,Oferta Pública em Conceição do Almeida,PROVÍNCIA,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57596,240.17,Bom Jesus ,RN,Nordeste,16/07/2010,,Oferta Pública em Bom Jesus,CHB,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
